id,happiness,religion_freq,income,health,health_problem,depression,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,work_yr,family_income,status_peer,status_3_before,inc_ability,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,survey_type_1,survey_type_2,province_11,province_12,province_13,province_14,province_15,province_21,province_22,province_23,province_31,province_32,province_33,province_34,province_35,province_36,province_37,province_41,province_42,province_43,province_44,province_45,province_46,province_50,province_51,province_52,province_53,province_54,province_61,province_62,province_63,province_64,province_65,gender_1,gender_2,age,nationality_1,nationality_2,nationality_3,nationality_4,nationality_5,nationality_6,nationality_7,nationality_8,edu_a,political_1,political_2,political_3,political_4,income_p,revenue_assets,house_percent,house_value,house_percent_value,total_asset,total_asset_age,height_cm_a,weight_jin_a,bmi,health_score,hukou_1,hukou_2,hukou_3,hukou_4,hukou_5,hukou_6,hukou_7,hukou_8,hukou_loc_1,hukou_loc_2,hukou_loc_3,hukou_loc_4,media_type_1,media_type_2,media_type_3,out_leisure_p,class_a,class_10_before_a,class_10_after_a,class_14_a,class_forcast,class_review,class_change_total,work_exper_1,work_exper_2,work_exper_3,work_exper_4,work_exper_5,work_exper_6,work_status_1,work_status_2,work_status_3,work_status_4,work_status_5,work_status_6,work_status_7,work_status_8,work_status_9,work_type_1,work_type_2,work_manage_1,work_manage_2,work_manage_3,work_manage_4,family_m_a,family_income_m,family_status_1,family_status_2,family_status_3,family_status_4,family_status_5,house_a,car_1,car_2,invest_1_0,invest_1_1,invest_2_0,invest_2_1,invest_3_0,invest_3_1,invest_4_0,invest_4_1,invest_5_0,invest_5_1,invest_6_0,invest_6_1,invest_7_0,invest_7_1,invest_8_0,invest_8_1,marital_1,marital_2,marital_3,marital_4,marital_5,marital_6,marital_7,ever_divorce_0,ever_divorce_1,stay_with_someone_0,stay_with_someone_1,s_edu_diff,s_income_diff,ma_income_m,ma_income_f,first_ma_years,cur_ma_years,first_ma_age_m,first_ma_age_f,ma_age_m,ma_age_f,first_ma_age_diff,ma_age_diff,income_diff,trust_sum,pub_sum
3406,4,1,0,4,3,4,2,2,1,4,1,1,1,5,5,2,5,4,4,5,5,5,5,5,4,4,2,1,5,1,5,0,100000,2,2,1,5,5,5,5,5,4,3,4,3,3,3,3,3,5,90,80,80,90,80,90,80,80,80,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,1,0,0,0,0,0,0,0,70,1,0,0,0,100,0,0.25,0,0,0,0,165,100,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,6,7,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,51,800
5440,3,1,0,4,5,5,1,2,1,3,4,2,2,3,3,4,4,4,2,2,4,3,5,1,3,3,2,7,2,6,2,5,0,2,1,2,4,3,3,3,3,3,2,3,3,3,3,3,2,2,50,50,30,50,30,50,0,60,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,1,1500000,1500000,1500000,50000,175,120,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20,5,3,6,7,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,60,0,0,0,0,0,28,23,30,25,5,5,0,38,400
4601,3,1,0,4,3,4,1,1,1,5,1,1,1,5,3,5,5,3,3,5,2,5,4,5,4,3,2,2,2,1,4,0,0,3,2,3,4,4,4,3,5,5,3,4,4,3,3,3,2,4,60,60,60,50,70,40,50,40,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0.5,0,0,0,0,155,120,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,6,5,7,3,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,30,30,20,19,0,0,0,0,0,47,500
7331,4,1,0,5,5,5,1,3,3,2,5,1,3,2,4,4,4,3,3,4,5,5,5,1,1,2,3,3,3,1,1,0,0,1,1,2,2,2,2,2,4,3,3,3,2,2,4,4,2,3,50,60,70,70,70,70,80,80,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,0,0,0,1,0,0,0,0,100,0,1,0,0,0,0,0.75,0,0,0,0,170,95,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,30,5,3,7,4,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,35,600
2250,1,1,0,2,2,4,4,2,1,5,5,1,2,4,4,1,4,4,4,5,4,4,5,1,3,3,4,3,3,1,2,30,100000,3,1,3,3,3,2,2,5,5,3,4,3,2,1,3,1,3,80,50,50,40,20,20,40,60,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,1,0,0,0,0,0,0,0,40,0,0,0,1,50,0,0.25,0,0,0,0,180,140,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,2,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,40,0,0,0,30,30,23,24,25,25,0,0,0,37,400
3230,3,1,0,5,4,4,1,1,1,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,2,1,1,6,6,1,4,0,100000,2,2,2,5,4,4,4,5,4,3,3,4,3,3,3,3,4,70,70,60,70,80,80,70,70,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,500000,500000,500000,0,160,100,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,4,3,4,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,30,30,25,22,0,0,5,0,0,48,600
3945,3,1,0,4,5,5,1,1,1,5,4,4,1,3,4,5,5,4,4,1,2,4,5,1,3,4,3,2,3,2,2,20,0,3,2,3,3,3,3,3,5,4,3,4,3,4,1,4,1,4,70,60,60,80,80,70,80,80,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,0,0,0,40,1,0,0,0,50,0,0.75,0,0,0,0,150,100,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,10,5,4,6,3,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,10,10,31,29,0,0,0,0,0,41,700
5171,3,1,0,4,4,3,2,1,1,4,4,2,2,5,3,4,5,4,2,3,3,5,5,2,4,4,1,2,3,1,3,0,0,2,1,2,3,4,4,3,5,3,3,3,3,3,3,3,2,4,80,60,60,60,60,70,70,80,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,165,145,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40,4,3,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,20,20,0,0,0,0,0,0,0,42,600
4484,2,1,0,3,4,3,2,2,2,4,4,2,2,4,3,4,4,4,4,4,2,5,5,2,4,3,2,1,6,1,4,0,0,3,2,3,2,2,2,2,4,2,2,4,3,3,3,2,2,4,60,80,60,50,50,50,80,60,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,155,80,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,40,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-100,0,0,0,0,0,26,24,0,0,0,0,150000,33,500
7111,3,1,0,2,2,4,3,3,1,5,1,1,1,4,3,3,5,4,4,5,5,5,5,5,4,4,1,2,2,1,4,0,0,2,2,2,4,4,4,4,4,4,4,3,4,4,3,3,1,5,100,100,100,100,100,100,100,100,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0.5,0,0,0,0,155,90,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1,1,7,1,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-20,0,0,0,40,40,22,20,0,0,0,0,0,46,900
6273,2,1,0,2,2,3,1,1,1,3,1,1,2,5,4,5,5,4,5,5,5,5,5,5,3,1,1,3,4,1,3,0,0,3,2,4,3,3,3,3,4,3,3,3,3,2,3,3,1,3,50,50,0,50,40,40,20,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,150,80,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,3,2,7,1,4,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,30,30,23,23,0,0,0,0,0,37,300
3539,3,1,0,4,5,5,1,1,1,5,1,1,1,5,1,5,5,4,4,5,5,5,5,5,2,4,1,5,5,6,4,0,0,2,2,2,5,5,4,4,5,3,3,5,5,3,2,3,3,5,100,80,90,70,30,80,80,80,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1,0,0,0,0,0,0,0,30,1,0,0,0,0,0,1,500000,500000,500000,0,160,100,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,3,2,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,20,0,0,0,40,40,0,0,0,0,0,0,0,50,700
2299,3,1,100000,5,5,4,2,3,2,3,5,3,2,3,3,2,4,4,2,1,2,4,5,1,3,2,2,7,2,2,4,5,100000,2,2,2,4,3,3,3,5,3,3,4,3,3,3,4,3,1,70,60,60,60,60,60,60,60,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,0,0,120,1,0,0,0,100,1000000,0,0,0,1000000,0,165,100,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,20,5,5,6,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,100000,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,600
3601,3,1,0,2,1,3,1,1,1,4,1,2,1,5,5,5,5,5,5,5,5,5,5,5,3,4,2,2,2,1,2,0,0,2,1,2,5,4,3,4,5,4,5,5,5,5,4,5,4,5,50,60,70,60,70,50,60,70,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0.25,0,0,0,0,160,95,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,5,5,2,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,60,60,19,18,0,0,0,0,0,58,600
7969,3,1,100000,4,4,4,2,3,1,4,5,2,1,3,2,2,3,4,3,1,3,4,4,1,3,4,2,6,3,6,3,10,100000,2,1,2,3,3,3,3,4,4,4,4,3,3,3,4,3,3,80,80,70,80,80,80,70,70,70,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,120,0,1,0,0,50,1000000,0.75,0,0,1000000,0,160,115,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,10,5,4,7,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-100,0,0,100000,0,0,26,25,0,0,0,0,0,44,700
2587,3,1,0,4,4,4,1,1,1,5,1,1,1,5,5,5,5,3,2,5,3,5,3,5,4,3,1,1,1,1,4,0,0,2,2,2,5,5,5,5,5,3,4,3,4,5,3,3,4,5,70,70,80,70,70,80,70,70,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,0,0,160,120,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,30,5,5,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,600
2985,1,1,0,2,2,2,1,1,1,3,1,1,2,5,5,5,5,5,5,5,5,5,4,5,3,3,1,6,6,2,3,0,100000,3,3,2,5,4,4,3,5,4,3,4,3,3,3,3,2,5,50,60,60,70,40,60,30,50,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,0,0,0,0,0,0,1,30,1,0,0,0,0,0,0.25,0,0,0,0,155,90,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,46,500
3047,3,1,0,4,4,4,3,3,2,2,5,1,3,3,4,2,3,4,4,3,4,5,5,1,4,2,3,5,2,1,4,5,100000,2,2,2,4,3,3,3,4,4,2,4,3,3,3,3,2,3,80,70,70,80,70,80,80,90,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,0,0,0,0,120,0,0,0,1,100,500000,0,0,0,500000,0,170,140,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,6,4,7,6,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,120,0,0,0,10,10,30,27,30,25,5,5,150000,41,700
3640,2,1,0,3,5,4,2,1,2,5,3,3,1,5,5,5,4,4,3,4,1,5,5,4,2,5,1,5,5,2,2,35,100000,3,2,3,4,3,5,4,5,3,3,4,3,3,3,4,1,4,70,50,50,30,60,60,80,70,80,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1,0,0,0,0,0,0,0,60,1,0,0,0,0,0,1,2000000,2000000,2000000,50000,175,185,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,50,5,5,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,60,0,0,0,30,30,27,23,25,25,5,5,0,45,600
2458,3,1,0,3,5,5,4,4,4,4,4,1,1,5,4,1,5,3,3,1,1,5,5,1,1,3,3,3,3,1,4,0,0,2,2,3,4,4,4,4,5,4,3,4,3,4,3,4,2,2,60,50,60,50,50,60,60,60,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,1,0,0,0,0,0,0,0,90,1,0,0,0,50,0,1,500000,500000,500000,50000,170,140,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,20,4,4,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,80,0,0,0,40,40,27,24,25,25,5,5,0,48,500
5787,3,1,100000,4,4,4,3,3,3,5,5,1,2,4,4,4,4,4,4,4,3,5,5,1,3,3,3,5,5,3,3,5,100000,2,1,2,4,3,3,3,3,3,3,4,3,3,3,3,3,4,80,80,80,80,80,80,80,80,80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,0,0,120,1,0,0,0,150,1000000,0,0,0,1000000,0,180,130,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,100,0,100000,100000,0,0,28,28,30,30,0,0,0,41,700
916,3,1,0,4,4,4,3,2,3,5,3,2,1,5,4,3,4,4,4,5,4,5,4,3,2,3,2,4,4,2,3,20,100000,2,2,2,4,4,4,4,5,5,3,4,4,4,3,4,1,4,70,70,60,70,60,70,50,60,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,1,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,165,145,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,4,5,9,6,5,-1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,2,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-40,0,0,0,30,30,24,22,0,0,0,0,150000,49,600
6958,3,1,0,2,3,2,1,1,1,5,1,1,1,4,4,5,5,4,5,5,5,5,5,5,2,3,1,7,7,2,4,0,0,2,2,2,2,3,4,2,3,2,3,3,2,3,3,3,1,5,80,100,90,80,80,100,80,90,70,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1,0,0,0,0,0,0,0,30,0,0,0,1,50,0,1,0,0,0,0,180,125,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,5,9,3,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,20,0,0,0,40,40,26,25,25,25,0,0,0,34,800
4927,3,1,100000,3,3,3,4,3,4,4,4,2,1,3,2,1,4,3,3,3,3,5,5,1,3,3,3,3,3,2,4,0,100000,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,70,70,70,70,70,70,70,70,70,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,1,0,0,0,0,0,0,0,100,0,0,0,1,50,0,1,7000000,7000000,7000000,500000,170,140,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,20,6,6,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,80,0,100000,0,40,40,26,25,25,25,0,0,0,39,600
6543,2,4,100000,5,4,3,1,2,1,4,5,1,1,4,3,4,5,4,3,2,2,4,2,1,3,2,4,2,2,6,4,10,100000,2,3,2,4,4,5,5,5,4,3,5,3,3,5,5,3,5,80,80,70,80,70,90,80,80,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,0,0,60,1,0,0,0,250,1500000,0,0,0,1500000,0,165,120,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,20,3,6,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,100000,0,0,1,0,0,2,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,700
6742,1,6,0,3,3,4,1,1,1,5,1,2,1,5,3,5,5,3,3,5,5,5,5,5,5,3,1,1,1,3,4,0,0,3,2,2,4,4,4,3,5,3,3,3,4,4,4,4,2,5,80,60,60,60,60,60,80,60,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0.5,0,0,0,0,150,115,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,3,3,5,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,40,20,44,41,0,0,5,0,150000,47,600
969,2,1,0,4,5,5,1,1,1,4,1,1,1,5,5,5,5,4,3,5,5,5,5,5,4,3,1,1,1,1,2,40,0,3,2,3,4,4,4,4,4,3,2,4,2,2,3,3,1,5,60,60,70,40,50,50,70,80,70,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,1,0,0,0,0,0,0,0,40,1,0,0,0,50,0,1,500000,500000,500000,0,175,140,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,2,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,40,0,0,0,30,30,24,23,25,25,0,0,0,40,600
330,4,1,0,5,5,5,1,1,1,3,5,5,2,5,3,4,4,4,4,3,4,5,5,1,3,3,3,5,5,1,3,15,0,2,2,2,5,5,5,5,5,5,4,5,2,3,3,3,1,5,90,90,80,80,80,80,80,80,80,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,0,0,0,0,0,0,0,120,0,0,0,1,50,500000,1,500000,500000,1000000,0,150,100,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10,5,5,6,4,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,-120,0,0,0,10,10,24,24,0,0,0,0,150000,51,700
5001,1,1,0,4,4,3,2,2,3,2,3,3,5,5,4,4,5,5,5,3,3,4,3,2,1,3,1,3,3,1,2,15,0,3,2,3,3,2,2,2,3,3,2,3,2,2,3,3,1,3,80,70,60,60,70,70,70,80,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0,0,0,0,0,0,0,40,1,0,0,0,100,500000,1,500000,500000,1000000,0,175,145,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,3,2,3,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,600
